Date_Time,Voltage(V),Charge_Capacity(Ah)
05-16-2018 19:48:10.325,3.502111912,0
05-16-2018 19:50:10.327,3.503921986,0
05-16-2018 19:52:10.325,3.505238056,0
05-16-2018 19:54:10.325,3.505848408,0
05-16-2018 19:56:10.326,3.506266117,0
05-16-2018 19:58:10.328,3.506200314,0
05-16-2018 20:00:10.326,3.505954266,0
05-16-2018 20:02:10.327,3.505615711,0
05-16-2018 20:04:10.324,3.505219936,0
05-16-2018 20:06:10.326,3.504910946,0
05-16-2018 20:08:10.327,3.504698277,0
05-16-2018 20:10:10.327,3.504620075,0
05-16-2018 20:12:10.326,3.504570484,0
05-16-2018 20:14:10.325,3.504643917,0
05-16-2018 20:16:10.325,3.504842281,0
05-16-2018 20:18:10.326,3.504900455,0
05-16-2018 20:20:10.325,3.504830837,0
05-16-2018 20:22:10.324,3.504953861,0
05-16-2018 20:24:10.328,3.504889011,0
05-16-2018 20:26:10.325,3.505021572,0
05-16-2018 20:28:10.326,3.505033016,0
05-16-2018 20:30:10.325,3.505041599,0
05-16-2018 20:32:10.324,3.505072117,0
05-16-2018 20:34:10.324,3.505082607,0
05-16-2018 20:36:10.328,3.505197048,0
05-16-2018 20:38:10.325,3.50520277,0
05-16-2018 20:40:10.328,3.505269527,0
05-16-2018 20:42:10.328,3.505284786,0
05-16-2018 20:44:10.328,3.505298138,0
05-16-2018 20:46:10.328,3.505376339,0
05-16-2018 20:48:10.328,3.50532198,0
05-16-2018 20:50:10.326,3.505343914,0
05-16-2018 20:52:10.324,3.505376339,0
05-16-2018 20:54:10.326,3.505429745,0
05-16-2018 20:56:10.324,3.505509853,0
05-16-2018 20:58:10.328,3.50548315,0
05-16-2018 21:00:10.326,3.50550127,0
05-16-2018 21:02:10.328,3.505509853,0
05-16-2018 21:04:10.326,3.50555563,0
05-16-2018 21:06:10.327,3.505579472,0
05-16-2018 21:08:10.327,3.505675793,0
05-16-2018 21:10:10.326,3.50571394,0
05-16-2018 21:12:10.325,3.505775928,0
05-16-2018 21:14:10.326,3.505755901,0
05-16-2018 21:16:10.324,3.505796909,0
05-16-2018 21:18:10.325,3.505858898,0
05-16-2018 21:20:10.325,3.505922794,0
05-16-2018 21:22:10.324,3.505935192,0
05-16-2018 21:24:10.328,3.505970478,0
05-16-2018 21:26:10.328,3.506104946,0
05-16-2018 21:28:10.324,3.50604105,0
05-16-2018 21:30:10.324,3.506070614,0
05-16-2018 21:32:10.326,3.506110668,0
05-16-2018 21:34:10.326,3.50619936,0
05-16-2018 21:36:10.324,3.506230831,0
05-16-2018 21:38:10.325,3.506323338,0
05-16-2018 21:40:10.328,3.506301403,0
05-16-2018 21:42:10.324,3.506324291,0
05-16-2018 21:44:10.324,3.506394863,0
05-16-2018 21:46:10.324,3.506343365,0
05-16-2018 21:48:10.414,4.200018406,0.132443175
05-16-2018 21:49:07.165,4.200085163,0.181549877
05-16-2018 21:51:07.185,4.220459461,0.289972633
05-16-2018 21:53:07.183,4.246807575,0.398649871
05-16-2018 21:55:07.181,4.270058155,0.507291198
05-16-2018 21:57:07.182,4.290601254,0.615915537
05-16-2018 21:59:07.183,4.310719013,0.724639356
05-16-2018 22:01:07.183,4.332231998,0.833312273
05-16-2018 22:03:07.181,4.35558939,0.941978335
05-16-2018 22:05:07.181,4.381333828,1.050623059
05-16-2018 22:07:07.181,4.399994373,1.157897711
05-16-2018 22:09:07.182,4.400013447,1.259581208
05-16-2018 22:11:07.184,4.400000095,1.35385108
05-16-2018 22:13:07.184,4.400004864,1.441404343
05-16-2018 22:15:07.181,4.399995327,1.52302289
05-16-2018 22:17:07.185,4.399970531,1.599452376
05-16-2018 22:19:07.186,4.399981022,1.671241999
05-16-2018 22:21:07.180,4.399978161,1.738898516
05-16-2018 22:23:07.183,4.400036335,1.802922487
