Date_Time,Charge_Capacity(Ah),Voltage(V),Current(A)
06-05-2018 17:23,0,3.578288555,0
06-05-2018 17:25,0,3.578400135,0
06-05-2018 17:27,0,3.580041409,0
06-05-2018 17:29,0,3.581675053,0
06-05-2018 17:31,0,3.582434177,0
06-05-2018 17:33,0,3.582656384,0
06-05-2018 17:35,0,3.582440853,0
06-05-2018 17:37,0,3.581902027,0
06-05-2018 17:39,0,3.581415653,0
06-05-2018 17:41,0,3.581069469,0
06-05-2018 17:43,0,3.580694675,0
06-05-2018 17:45,0,3.580750942,0
06-05-2018 17:47,0,3.58081007,0
06-05-2018 17:49,0,3.580755711,0
06-05-2018 17:51,0,3.58082056,0
06-05-2018 17:53,0,3.580839634,0
06-05-2018 17:55,0,3.580817699,0
06-05-2018 17:57,0,3.580797672,0
06-05-2018 17:59,0,3.580826283,0
06-05-2018 18:01,0,3.580764294,0
06-05-2018 18:03,0,3.580796719,0
06-05-2018 18:05,0,3.580827236,0
06-05-2018 18:07,0,3.580873966,0
06-05-2018 18:09,0,3.580825329,0
06-05-2018 18:11,0,3.580888271,0
06-05-2018 18:13,0,3.580910206,0
06-05-2018 18:15,0,3.580797672,0
06-05-2018 18:17,0,3.580852032,0
06-05-2018 18:19,0,3.580875874,0
06-05-2018 18:21,0,3.580933094,0
06-05-2018 18:21,0,3.580925465,0
06-05-2018 18:22,0.068337776,4.200062275,3.259952545
06-05-2018 18:24,0.176755264,4.244075298,3.26004982
06-05-2018 18:26,0.285428613,4.271674633,3.260082245
06-05-2018 18:28,0.394109279,4.30283308,3.260087967
06-05-2018 18:30,0.50276351,4.330233097,3.260141373
06-05-2018 18:32,0.611442268,4.353581905,3.260101318
06-05-2018 18:34,0.720116138,4.37601614,3.260150909
06-05-2018 18:36,0.828786492,4.398965359,3.260068893
06-05-2018 18:38,0.93410182,4.399922848,3.056840897
06-05-2018 18:40,1.03263545,4.400009632,2.857515335
06-05-2018 18:42,1.12484169,4.399968624,2.677402496
06-05-2018 18:44,1.211296439,4.399978161,2.514345169
06-05-2018 18:46,1.292688251,4.400044918,2.372808456
06-05-2018 18:48,1.369610667,4.399986744,2.246923447
06-05-2018 18:50,1.442607284,4.400078297,2.134304047
06-05-2018 18:52,1.512025356,4.400030613,2.032853127
06-05-2018 18:54,1.578228235,4.400013447,1.94077301
06-05-2018 18:56,1.641502976,4.39992857,1.857048035
06-05-2018 18:58,1.702110171,4.399998188,1.780311584
06-05-2018 19:00,1.760234714,4.399968624,1.70767498
06-05-2018 19:02,1.816017151,4.399963856,1.639373779
06-05-2018 19:04,1.869572997,4.400029659,1.574692726
06-05-2018 19:06,1.92100811,4.400036335,1.512076378
06-05-2018 19:08,1.970417857,4.399978161,1.452987671
06-05-2018 19:10,2.017895937,4.399981976,1.395365715
06-05-2018 19:12,2.063493729,4.400004864,1.34049511
06-05-2018 19:14,2.107287645,4.400019169,1.287377357
06-05-2018 19:16,2.14930582,4.399978161,1.234248161
06-05-2018 19:18,2.18959713,4.400025845,1.183000565
06-05-2018 19:20,2.228177547,4.400030613,1.13267231
06-05-2018 19:22,2.265109777,4.400035381,1.083447456
06-05-2018 19:24,2.300437689,4.39994669,1.036169052
06-05-2018 19:26,2.334200144,4.400013447,0.989524841
06-05-2018 19:28,2.366437435,4.400111675,0.945373535
06-05-2018 19:30,2.397228956,4.399980068,0.902458191
06-05-2018 19:32,2.426627159,4.400072575,0.861430168
06-05-2018 19:34,2.454685688,4.399988651,0.821782112
06-05-2018 19:36,2.48143959,4.399981976,0.783382416
06-05-2018 19:38,2.506939888,4.40005064,0.746495247
06-05-2018 19:40,2.531237364,4.399997234,0.711065292
06-05-2018 19:42,2.554373026,4.4000144,0.676960945
06-05-2018 19:44,2.571274519,4.400052547,0.651982307
06-05-2018 19:46,2.571275949,4.272348881,0
06-05-2018 19:48,2.571275949,4.258927822,0
06-05-2018 19:49,2.571275949,4.255412579,0
06-05-2018 19:51,2.571275949,3.85527277,-2.282243729
06-05-2018 19:53,2.571275949,3.803332806,-2.28212738
06-05-2018 19:55,2.571275949,3.762537479,-2.282087326
06-05-2018 19:57,2.571275949,3.725128651,-2.282105446
06-05-2018 19:59,2.571275949,3.689937115,-2.282110214
06-05-2018 20:01,2.571275949,3.656660557,-2.282152176
06-05-2018 20:03,2.571275949,3.625195026,-2.282094002
06-05-2018 20:05,2.571275949,3.596012592,-2.282150269
06-05-2018 20:07,2.571275949,3.569040775,-2.282183647
06-05-2018 20:09,2.571275949,3.543952465,-2.281841278
06-05-2018 20:11,2.571275949,3.519893169,-2.281787872
06-05-2018 20:13,2.571275949,3.496991634,-2.282031059
06-05-2018 20:15,2.571275949,3.475151539,-2.28213501
06-05-2018 20:17,2.571275949,3.454708576,-2.282141685
06-05-2018 20:19,2.571275949,3.435395718,-2.282037735
06-05-2018 20:21,2.571275949,3.416600704,-2.281820297
06-05-2018 20:23,2.571275949,3.398561001,-2.282123566
06-05-2018 20:25,2.571275949,3.3814044,-2.282130241
06-05-2018 20:27,2.571275949,3.364615917,-2.281852722
06-05-2018 20:29,2.571275949,3.34747076,-2.282136917
06-05-2018 20:31,2.571275949,3.330103397,-2.282180786
06-05-2018 20:33,2.571275949,3.312255383,-2.28209877
06-05-2018 20:35,2.571275949,3.292840481,-2.282024384
06-05-2018 20:37,2.571275949,3.271752834,-2.282089233
06-05-2018 20:39,2.571275949,3.248400211,-2.28190136
06-05-2018 20:41,2.571275949,3.222584248,-2.282208443
06-05-2018 20:43,2.571275949,3.192380428,-2.282073975
06-05-2018 20:45,2.571275949,3.156700611,-2.282129288
06-05-2018 20:47,2.571275949,3.114334583,-2.282170296
06-05-2018 20:49,2.571275949,3.062746525,-2.282129288
06-05-2018 20:50,2.571275949,2.999989033,-2.282152176
06-05-2018 20:52,2.571275949,3.650282383,0
06-05-2018 20:54,2.571275949,3.67559576,0
06-05-2018 20:55,2.571275949,3.6810956,0
06-05-2018 20:57,0.109787256,4.20005846,3.259986877
06-05-2018 20:59,0.218211308,4.236835003,3.260116577
06-05-2018 21:01,0.326885134,4.264859676,3.260099411
06-05-2018 21:03,0.435560048,4.286436558,3.260133743
06-05-2018 21:05,0.54422015,4.309736729,3.260082245
06-05-2018 21:07,0.652898967,4.334116459,3.260034561
06-05-2018 21:09,0.761562109,4.363562107,3.260145187
06-05-2018 21:11,0.870235026,4.393932819,3.260087967
06-05-2018 21:13,0.975746214,4.400002956,3.033733368
06-05-2018 21:15,1.072583914,4.400039196,2.785675049
06-05-2018 21:17,1.161928535,4.400022984,2.576436996
06-05-2018 21:19,1.244866848,4.399960995,2.40350914
06-05-2018 21:21,1.322381854,4.400061131,2.251939774
06-05-2018 21:23,1.395273447,4.399995327,2.124116898
06-05-2018 21:25,1.464097261,4.399991512,2.007789612
06-05-2018 21:27,1.529302835,4.399974346,1.90533638
06-05-2018 21:29,1.591278911,4.400000095,1.813689232
06-05-2018 21:31,1.650305152,4.399944782,1.728661537
06-05-2018 21:33,1.70661056,4.400012493,1.649980545
06-05-2018 21:35,1.760350108,4.399888515,1.574748993
06-05-2018 21:37,1.811628938,4.40013361,1.503662109
06-05-2018 21:39,1.860636234,4.399956226,1.436784744
06-05-2018 21:41,1.907458186,4.400001049,1.372846603
06-05-2018 21:43,1.952202201,4.399954319,1.312327385
06-05-2018 21:45,1.994936943,4.399973392,1.252558708
06-05-2018 21:47,2.035710812,4.400042057,1.1945858
06-05-2018 21:49,2.074574709,4.399952412,1.138092041
06-05-2018 21:51,2.111586094,4.39991045,1.08412838
06-05-2018 21:53,2.146821737,4.399934292,1.030398369
06-05-2018 21:55,2.180310965,4.400073528,0.979581833
06-05-2018 21:57,2.212125063,4.400002956,0.929639816
06-05-2018 21:59,2.242305756,4.40002203,0.881819725
06-05-2018 22:01,2.270926237,4.399959087,0.836326599
06-05-2018 22:03,2.298081636,4.39994669,0.793247223
06-05-2018 22:05,2.323845387,4.40006876,0.752473831
06-05-2018 22:07,2.348259926,4.400013447,0.713134766
06-05-2018 22:09,2.37140274,4.399992466,0.675798416
06-05-2018 22:11,2.386741877,4.400030613,0.651997566
06-05-2018 22:13,2.386743069,4.27598238,0
06-05-2018 22:15,2.386743069,4.263732433,0
06-05-2018 22:16,2.386743069,4.260272503,0
06-05-2018 22:18,2.386743069,3.879367352,-2.281775475
06-05-2018 22:20,2.386743069,3.83041811,-2.282069206
06-05-2018 22:22,2.386743069,3.791079044,-2.281769753
06-05-2018 22:24,2.386743069,3.752267361,-2.28216362
06-05-2018 22:26,2.386743069,3.716979504,-2.282060623
06-05-2018 22:28,2.386743069,3.682421207,-2.282130241
06-05-2018 22:30,2.386743069,3.650598049,-2.282180786
06-05-2018 22:32,2.386743069,3.62046957,-2.282096863
06-05-2018 22:34,2.386743069,3.592345715,-2.28205204
06-05-2018 22:36,2.386743069,3.566867352,-2.282161713
06-05-2018 22:38,2.386743069,3.542899609,-2.282213211
06-05-2018 22:40,2.386743069,3.519916058,-2.282110214
06-05-2018 22:42,2.386743069,3.498333454,-2.282122612
